Film,U.S. release date,Director(s),Screenwriter(s),Producer(s)
Phase One[10],,,,
*Iron Man*,"May 2, 2008",Jon Favreau[11],Mark Fergus & Hawk Ostby and Art Marcum & Matt Holloway[11][12],Avi Arad and Kevin Feige
*The Incredible Hulk*,"June 13, 2008",Louis Leterrier[13],Zak Penn[14],"Avi Arad, Gale Anne Hurd
and Kevin Feige"
*Iron Man 2*,"May 7, 2010",Jon Favreau[15],Justin Theroux[16],Kevin Feige
*Thor*,"May 6, 2011",Kenneth Branagh[17],Ashley Edward Miller & Zack Stentz and Don Payne[18],
*Captain America: The First Avenger*,"July 22, 2011",Joe Johnston[19],Christopher Markus & Stephen McFeely[20],
*Marvel's The Avengers*,"May 4, 2012",Joss Whedon[21],,
Phase Two[10],,,,
*Iron Man 3*,"May 3, 2013",Shane Black[22],Drew Pearce and Shane Black[22][23],Kevin Feige
*Thor: The Dark World*,"November 8, 2013",Alan Taylor[24],Christopher L. Yost and Christopher Markus & Stephen McFeely[25],
*Captain America: The Winter Soldier*,"April 4, 2014",Anthony and Joe Russo[26],Christopher Markus & Stephen McFeely[27],
*Guardians of the Galaxy*,"August 1, 2014",James Gunn[28],James Gunn and Nicole Perlman[29],
*Avengers: Age of Ultron*,"May 1, 2015",Joss Whedon[30],,
*Ant-Man*,"July 17, 2015",Peyton Reed[31],Edgar Wright & Joe Cornish and Adam McKay & Paul Rudd[32],
Phase Three[10][33],,,,
*Captain America: Civil War*,"May 6, 2016",Anthony and Joe Russo[34],Christopher Markus & Stephen McFeely[34],Kevin Feige
*Doctor Strange*,"November 4, 2016",Scott Derrickson[35],Jon Spaihts and Scott Derrickson & C. Robert Cargill[36],
*Guardians of the Galaxy Vol. 2*,"May 5, 2017",James Gunn[29],,
*Spider-Man: Homecoming*,"July 7, 2017",Jon Watts[37],"Jonathan Goldstein & John Francis Daley and
Jon Watts & Christopher Ford and
Chris McKenna & Erik Sommers[38]","Kevin Feige
and Amy Pascal"
*Thor: Ragnarok*,"November 3, 2017",Taika Waititi[39],Eric Pearson and Craig Kyle & Christopher L. Yost[40][41],Kevin Feige
*Black Panther*,"February 16, 2018",Ryan Coogler[42],Ryan Coogler & Joe Robert Cole[43][44],
*Avengers: Infinity War*,"April 27, 2018",Anthony and Joe Russo[45],Christopher Markus & Stephen McFeely[46],
*Ant-Man and the Wasp*,"July 6, 2018",Peyton Reed[47],"Chris McKenna & Erik Sommers and
Paul Rudd & Andrew Barrer & Gabriel Ferrari[48]","Kevin Feige and 
Stephen Broussard"
*Captain Marvel*,"March 8, 2019",Anna Boden and Ryan Fleck[49],Anna Boden & Ryan Fleck & Geneva Robertson-Dworet[50],Kevin Feige
*Avengers: Endgame*,"April 26, 2019",Anthony and Joe Russo[45],Christopher Markus & Stephen McFeely[46],
*Spider-Man: Far From Home*,"July 2, 2019",Jon Watts[51],Chris McKenna & Erik Sommers[52],"Kevin Feige 
and Amy Pascal"